z_m,z_cm,B_T,B_mT,beam_radius_mm,s_local,eta_design,v_design_m_s,delta_eff_MHz
4.773000000000000159e-02,4.773000000000000576e+00,-3.751267596045465558e-03,-3.751267596045465780e+00,6.243419354838709801e+00,9.605328053482139472e-01,4.899345742789608105e-01,2.602837099835285812e+02,0.000000000000000000e+00
4.782249999999999696e-02,4.782249999999999446e+00,-3.734701973674446184e-03,-3.734701973674446229e+00,6.244016129032258000e+00,9.603492075529721506e-01,4.898868037658141716e-01,2.601912224225235946e+02,0.000000000000000000e+00
4.791499999999999926e-02,4.791500000000000092e+00,-3.718132076866076299e-03,-3.718132076866076385e+00,6.244612903225807088e+00,9.601656623924691436e-01,4.898390380028105895e-01,2.600987109968984896e+02,0.000000000000000000e+00
4.800750000000000156e-02,4.800749999999999851e+00,-3.701557900896999646e-03,-3.701557900896999431e+00,6.245209677419354399e+00,9.599821698465882402e-01,4.897912769898962737e-01,2.600061756802822401e+02,0.000000000000000000e+00
4.809999999999999692e-02,4.809999999999999609e+00,-3.684979441035954838e-03,-3.684979441035954650e+00,6.245806451612902599e+00,9.597987298952211921e-01,4.897435207270166568e-01,2.599136164462597662e+02,0.000000000000000000e+00
4.819249999999999923e-02,4.819250000000000256e+00,-3.668396692543768843e-03,-3.668396692543768989e+00,6.246403225806451687e+00,9.596153425182694097e-01,4.896957692141170604e-01,2.598210332683717638e+02,0.000000000000000000e+00
4.828500000000000153e-02,4.828500000000000014e+00,-3.651809650673298012e-03,-3.651809650673297991e+00,6.247000000000000774e+00,9.594320076956442955e-01,4.896480224511426393e-01,2.597284261201144773e+02,0.000000000000000000e+00
4.837749999999999689e-02,4.837749999999999773e+00,-3.635218310669471441e-03,-3.635218310669471542e+00,6.247596774193548974e+00,9.592487254072671332e-01,4.896002804380382711e-01,2.596357949749398131e+02,0.000000000000000000e+00
4.846999999999999920e-02,4.846999999999999531e+00,-3.618622667769242837e-03,-3.618622667769242796e+00,6.248193548387097174e+00,9.590654956330681991e-01,4.895525431747487777e-01,2.595431398062552262e+02,0.000000000000000000e+00
4.856250000000000150e-02,4.856250000000000178e+00,-3.602022717201523293e-03,-3.602022717201523339e+00,6.248790322580645373e+00,9.588823183529874283e-01,4.895048106612182592e-01,2.594504605874232652e+02,0.000000000000000000e+00
4.865499999999999686e-02,4.865499999999999936e+00,-3.585418454187276269e-03,-3.585418454187276449e+00,6.249387096774193573e+00,9.586991935469744153e-01,4.894570828973910381e-01,2.593577572917620273e+02,0.000000000000000000e+00
4.874749999999999917e-02,4.874749999999999694e+00,-3.568809873939380109e-03,-3.568809873939380317e+00,6.249983870967741773e+00,9.585161211949879689e-01,4.894093598832108261e-01,2.592650298925445327e+02,0.000000000000000000e+00
4.884000000000000147e-02,4.884000000000000341e+00,-3.552196971662677488e-03,-3.552196971662677338e+00,6.250580645161289972e+00,9.583331012769980006e-01,4.893616416186215567e-01,2.591722783629989522e+02,0.000000000000000000e+00
4.893249999999999683e-02,4.893250000000000099e+00,-3.535579742553931169e-03,-3.535579742553931037e+00,6.251177419354839060e+00,9.581501337729814161e-01,4.893139281035663313e-01,2.590795026763083229e+02,0.000000000000000000e+00
4.902499999999999913e-02,4.902499999999999858e+00,-3.518958181801831384e-03,-3.518958181801831397e+00,6.251774193548387260e+00,9.579672186629272224e-01,4.892662193379885838e-01,2.589867028056106051e+02,0.000000000000000000e+00
4.911750000000000144e-02,4.911750000000000504e+00,-3.502332284586945083e-03,-3.502332284586945121e+00,6.252370967741935459e+00,9.577843559268323093e-01,4.892185153218311378e-01,2.588938787239983981e+02,0.000000000000000000e+00
4.920999999999999680e-02,4.920999999999999375e+00,-3.485702046081717680e-03,-3.485702046081717853e+00,6.252967741935483659e+00,9.576015455447042246e-01,4.891708160550367612e-01,2.588010304045189969e+02,0.000000000000000000e+00
4.930249999999999910e-02,4.930250000000000021e+00,-3.469067461450437914e-03,-3.469067461450437762e+00,6.253564516129031858e+00,9.574187874965585099e-01,4.891231215375477226e-01,2.587081578201741081e+02,0.000000000000000000e+00
4.939500000000000141e-02,4.939499999999999780e+00,-3.452428525849235257e-03,-3.452428525849235097e+00,6.254161290322580946e+00,9.572360817624213647e-01,4.890754317693062347e-01,2.586152609439199068e+02,0.000000000000000000e+00
