z_m,z_cm,B_T,B_mT
7.093645484949832880e-02,7.093645484949832714e+00,1.108919053804543683e-02,1.108919053804543609e+01
7.163879598662208081e-02,7.163879598662208359e+00,1.120535356552272016e-02,1.120535356552272077e+01
7.234113712374581895e-02,7.234113712374582228e+00,1.132180646535142256e-02,1.132180646535142188e+01
7.304347826086957096e-02,7.304347826086956985e+00,1.143855141845884216e-02,1.143855141845884305e+01
7.374581939799330910e-02,7.374581939799330854e+00,1.155559063325809106e-02,1.155559063325809177e+01
7.444816053511706111e-02,7.444816053511706500e+00,1.167292634613562724e-02,1.167292634613562718e+01
7.515050167224079924e-02,7.515050167224080369e+00,1.179056082194974119e-02,1.179056082194974131e+01
7.585284280936455126e-02,7.585284280936455126e+00,1.190849635454071208e-02,1.190849635454071276e+01
7.655518394648828939e-02,7.655518394648828995e+00,1.202673526725262995e-02,1.202673526725262931e+01
7.725752508361204141e-02,7.725752508361203752e+00,1.214527991346746674e-02,1.214527991346746738e+01
7.795986622073579342e-02,7.795986622073579397e+00,1.226413267715155235e-02,1.226413267715155264e+01
7.866220735785953155e-02,7.866220735785953266e+00,1.238329597341499694e-02,1.238329597341499699e+01
7.936454849498328357e-02,7.936454849498328024e+00,1.250277224908423294e-02,1.250277224908423257e+01
8.006688963210702170e-02,8.006688963210702781e+00,1.262256398328824927e-02,1.262256398328824858e+01
8.076923076923077371e-02,8.076923076923076650e+00,1.274267368805880908e-02,1.274267368805880984e+01
8.147157190635451185e-02,8.147157190635450519e+00,1.286310390894498945e-02,1.286310390894498923e+01
8.217391304347826386e-02,8.217391304347826164e+00,1.298385722564278019e-02,1.298385722564277955e+01
8.287625418060200200e-02,8.287625418060200033e+00,1.310493625263966198e-02,1.310493625263966244e+01
8.357859531772575401e-02,8.357859531772575679e+00,1.322634363987523591e-02,1.322634363987523543e+01
8.428093645484950602e-02,8.428093645484951324e+00,1.334808207341780031e-02,1.334808207341779962e+01
8.498327759197324416e-02,8.498327759197325193e+00,1.347015427615778742e-02,1.347015427615778727e+01
8.568561872909699617e-02,8.568561872909699062e+00,1.359256300851835984e-02,1.359256300851835952e+01
8.638795986622073431e-02,8.638795986622072931e+00,1.371531106918368048e-02,1.371531106918368081e+01
8.709030100334448632e-02,8.709030100334448576e+00,1.383840129584554442e-02,1.383840129584554468e+01
8.779264214046822445e-02,8.779264214046822445e+00,1.396183656596880138e-02,1.396183656596880063e+01
8.849498327759197647e-02,8.849498327759198091e+00,1.408561979757617239e-02,1.408561979757617166e+01
8.919732441471571460e-02,8.919732441471571960e+00,1.420975395005314931e-02,1.420975395005315001e+01
8.989966555183946662e-02,8.989966555183945829e+00,1.433424202497351509e-02,1.433424202497351452e+01
9.060200668896321863e-02,9.060200668896321474e+00,1.445908706694614375e-02,1.445908706694614310e+01
9.130434782608695676e-02,9.130434782608695343e+00,1.458429216448384365e-02,1.458429216448384302e+01
9.200668896321070878e-02,9.200668896321070989e+00,1.470986045089483184e-02,1.470986045089483163e+01
9.270903010033444691e-02,9.270903010033444858e+00,1.483579510519765499e-02,1.483579510519765421e+01
9.341137123745819892e-02,9.341137123745820503e+00,1.496209935306021428e-02,1.496209935306021421e+01
9.411371237458193706e-02,9.411371237458194372e+00,1.508877646776383454e-02,1.508877646776383408e+01
9.481605351170568907e-02,9.481605351170568241e+00,1.521582977119303147e-02,1.521582977119303060e+01
9.551839464882942721e-02,9.551839464882942110e+00,1.534326263485186886e-02,1.534326263485186814e+01
9.622073578595317922e-02,9.622073578595317755e+00,1.547107848090793249e-02,1.547107848090793247e+01
9.692307692307693123e-02,9.692307692307693401e+00,1.559928078326451931e-02,1.559928078326452017e+01
9.762541806020066937e-02,9.762541806020067270e+00,1.572787306866238813e-02,1.572787306866238843e+01
9.832775919732442138e-02,9.832775919732442915e+00,1.585685891781170309e-02,1.585685891781170298e+01
9.903010033444815952e-02,9.903010033444816784e+00,1.598624196655540688e-02,1.598624196655540608e+01
9.973244147157191153e-02,9.973244147157190653e+00,1.611602590706506452e-02,1.611602590706506533e+01
1.004347826086956497e-01,1.004347826086956452e+01,1.624621448907020288e-02,1.624621448907020138e+01
1.011371237458194017e-01,1.011371237458194017e+01,1.637681152112241412e-02,1.637681152112241278e+01
1.018394648829431398e-01,1.018394648829431404e+01,1.650782087189534356e-02,1.650782087189534408e+01
1.025418060200668918e-01,1.025418060200668968e+01,1.663924647152190128e-02,1.663924647152190062e+01
1.032441471571906438e-01,1.032441471571906355e+01,1.677109231296987704e-02,1.677109231296987701e+01
1.039464882943143820e-01,1.039464882943143742e+01,1.690336245345745031e-02,1.690336245345745070e+01
1.046488294314381340e-01,1.046488294314381307e+01,1.703606101591000760e-02,1.703606101591000765e+01
1.053511705685618721e-01,1.053511705685618693e+01,1.716919219045960621e-02,1.716919219045960787e+01
1.060535117056856241e-01,1.060535117056856258e+01,1.730276023598877749e-02,1.730276023598877799e+01
1.067558528428093623e-01,1.067558528428093645e+01,1.743676948172024135e-02,1.743676948172024055e+01
1.074581939799331143e-01,1.074581939799331209e+01,1.757122432885417293e-02,1.757122432885417140e+01
1.081605351170568524e-01,1.081605351170568596e+01,1.770612925225479445e-02,1.770612925225479373e+01
1.088628762541806044e-01,1.088628762541805983e+01,1.784148880218811711e-02,1.784148880218811684e+01
1.095652173913043564e-01,1.095652173913043548e+01,1.797730760611276901e-02,1.797730760611277034e+01
1.102675585284280946e-01,1.102675585284280935e+01,1.811359037052588314e-02,1.811359037052588405e+01
1.109698996655518466e-01,1.109698996655518499e+01,1.825034188286609252e-02,1.825034188286609194e+01
1.116722408026755847e-01,1.116722408026755886e+01,1.838756701347587716e-02,1.838756701347587708e+01
1.123745819397993367e-01,1.123745819397993451e+01,1.852527071762548674e-02,1.852527071762548516e+01
1.130769230769230749e-01,1.130769230769230660e+01,1.866345803760086422e-02,1.866345803760086497e+01
1.137792642140468269e-01,1.137792642140468224e+01,1.880213410485798153e-02,1.880213410485798065e+01
1.144816053511705650e-01,1.144816053511705611e+01,1.894130414224629716e-02,1.894130414224629888e+01
1.151839464882943170e-01,1.151839464882943176e+01,1.908097346630398261e-02,1.908097346630398405e+01
1.158862876254180690e-01,1.158862876254180740e+01,1.922114748962779063e-02,1.922114748962778918e+01
1.165886287625418072e-01,1.165886287625418127e+01,1.936183172332055571e-02,1.936183172332055591e+01
1.172909698996655592e-01,1.172909698996655514e+01,1.950303177951948422e-02,1.950303177951948541e+01
1.179933110367892973e-01,1.179933110367892901e+01,1.964475337400850563e-02,1.964475337400850563e+01
1.186956521739130493e-01,1.186956521739130466e+01,1.978700232891800539e-02,1.978700232891800681e+01
1.193979933110367875e-01,1.193979933110367853e+01,1.992978457551583538e-02,1.992978457551583560e+01
1.201003344481605395e-01,1.201003344481605417e+01,2.007310615709301943e-02,2.007310615709301871e+01
1.208026755852842776e-01,1.208026755852842804e+01,2.021697323194847698e-02,2.021697323194847584e+01
1.215050167224080296e-01,1.215050167224080369e+01,2.036139207647663305e-02,2.036139207647663341e+01
1.222073578595317817e-01,1.222073578595317755e+01,2.050636908836255337e-02,2.050636908836255401e+01
1.229096989966555198e-01,1.229096989966555142e+01,2.065191078988896922e-02,2.065191078988896933e+01
1.236120401337792718e-01,1.236120401337792707e+01,2.079802383136027458e-02,2.079802383136027544e+01
1.243143812709030099e-01,1.243143812709030094e+01,2.094471499464833561e-02,2.094471499464833641e+01
1.250167224080267481e-01,1.250167224080267481e+01,2.109199119686566010e-02,2.109199119686565993e+01
1.257190635451505001e-01,1.257190635451505045e+01,2.123985949417145011e-02,2.123985949417145136e+01
1.264214046822742521e-01,1.264214046822742432e+01,2.138832708571645341e-02,2.138832708571645469e+01
